Index,Lado,Media_X,Var_X,Media_Y,Var_Y,Media_VelX,Var_VelX,Media_VelY,Var_VelY
0,ESQUERDO,-11.6380,46.973335,18.9079,3644.386785,0.0180,0.089850,0.0512,0.013839
1,DIREITO,6.8122,1730.451517,47.1331,8457.344297,-0.0655,0.027177,-0.0374,0.024080
2,ESQUERDO,1.6881,1413.682881,-4.3677,8663.858361,-0.0326,0.034019,-0.0174,0.026046
3,DIREITO,29.6226,495.314671,11.6867,1328.226494,-0.0825,0.017230,0.0147,0.002420
4,ESQUERDO,0.0993,77.233370,-12.8295,2898.469807,-0.0178,0.019592,0.0459,0.031075
5,DIREITO,1.3826,1004.678126,-8.0976,2398.648091,-0.0447,0.014982,0.0149,0.010720
6,ESQUERDO,3.9305,84.671786,8.1699,1093.973812,0.0163,0.019892,0.0859,0.013906
7,DIREITO,-2.8860,1648.191980,14.7843,3364.975890,-0.0258,0.007583,0.0262,0.046193
8,ESQUERDO,-3.9803,390.378891,-16.4957,3595.137744,0.0316,0.095563,-0.1123,0.051831
9,DIREITO,24.7797,2420.819599,29.5989,10461.246619,-0.0222,0.025786,0.0983,0.038123
10,ESQUERDO,3.6328,42.388437,14.1736,853.173775,-0.0440,0.047037,0.0141,0.070040
11,DIREITO,-4.5636,1960.473078,-20.3112,2770.819168,0.0145,0.009133,0.0222,0.032166
12,ESQUERDO,-8.9283,120.695424,0.0237,1296.811984,0.0719,0.011074,0.1840,0.077897
13,DIREITO,6.0546,1306.744748,-11.3271,885.459438,-0.0442,0.021783,-0.0733,0.033272
14,ESQUERDO,1.5566,7.659281,16.4482,1747.024269,-0.2004,0.058437,0.0412,0.025022
15,DIREITO,-7.2375,2339.021248,14.2544,775.912576,0.0321,0.017990,-0.1420,0.059964
16,ESQUERDO,3.5998,156.016429,-22.5256,1743.368176,0.0158,0.010437,-0.0166,0.222290
17,DIREITO,-18.1057,2361.170837,-33.0739,1913.443320,0.0458,0.064413,-0.0622,0.024426
18,ESQUERDO,-2.2147,47.436222,-9.4717,166.948348,0.1084,0.062212,-0.0311,0.010116
19,DIREITO,-22.5341,961.859825,17.6925,815.805498,-0.1149,0.011699,0.0453,0.005903
20,ESQUERDO,8.5300,215.396694,-14.4089,8311.179821,-0.0030,0.031128,0.0397,0.056747
21,DIREITO,-35.1026,2151.319349,20.9472,1138.114212,-0.1071,0.004956,0.0900,0.008364
22,ESQUERDO,-1.6824,91.698476,13.0632,1230.966000,-0.0742,0.018010,0.0220,0.020875
23,DIREITO,-19.5243,2022.752224,3.7767,915.078382,0.0066,0.005370,0.1771,0.140406
24,ESQUERDO,2.4583,15.428184,-11.3057,2557.347321,0.0744,0.039408,-0.0235,0.040872
25,DIREITO,-7.3363,2160.133473,4.3939,106.257341,-0.0411,0.024956,0.0065,0.017912
26,ESQUERDO,6.9580,0.000000,32.5023,0.000000,-0.0498,0.000000,-0.1452,0.000000
27,DIREITO,7.9340,622.573382,-0.8920,362.520172,0.0592,0.001428,-0.0456,0.002913
28,ESQUERDO,7.5790,0.125756,15.9218,3162.124462,0.0967,0.006631,0.0817,0.003121
29,DIREITO,-2.1970,1948.214760,-19.7198,2250.423245,0.0459,0.007653,0.0358,0.018935
30,ESQUERDO,-0.9051,530.510041,14.3450,708.829961,-0.2600,0.151943,-0.0304,0.001087
31,DIREITO,2.3394,175.128026,-0.2791,457.474115,-0.0894,0.024059,0.0006,0.100236
