Index,Lado,Energia_Restaurada,Energia_Apos,Abates_Cumulativos
65,DIREITO,3.50,72.00,35
66,ESQUERDO,3.50,44.60,33
67,ESQUERDO,3.50,48.10,33
68,DIREITO,3.50,65.50,36
69,DIREITO,3.50,69.00,37
70,DIREITO,3.50,72.50,38
71,DIREITO,3.50,71.00,39
72,DIREITO,3.50,74.50,40
73,ESQUERDO,0.60,24.70,34
74,ESQUERDO,3.50,28.20,35
75,ESQUERDO,3.50,31.70,36
76,DIREITO,0.60,65.10,41
77,DIREITO,3.50,68.60,42
78,DIREITO,3.50,72.10,43
79,ESQUERDO,3.50,23.20,37
80,ESQUERDO,3.50,26.70,38
81,ESQUERDO,3.50,30.20,39
82,DIREITO,3.50,70.60,44
83,DIREITO,3.50,64.10,45
84,DIREITO,3.50,67.60,46
85,DIREITO,3.50,71.10,47
86,DIREITO,3.50,74.60,48
87,ESQUERDO,3.50,21.70,40
88,DIREITO,3.50,73.10,49
89,DIREITO,3.50,76.60,50
90,ESQUERDO,3.50,19.20,41
91,ESQUERDO,3.50,16.70,42
92,ESQUERDO,3.50,20.20,43
93,ESQUERDO,3.50,23.70,44
94,DIREITO,0.10,66.70,51
95,ESQUERDO,3.50,21.20,45
96,ESQUERDO,3.50,24.70,46
97,ESQUERDO,3.50,28.20,47
98,DIREITO,3.50,65.20,52
99,ESQUERDO,0.60,22.80,48
100,DIREITO,3.50,63.70,53
101,ESQUERDO,3.50,20.30,49
102,ESQUERDO,3.50,23.80,50
103,ESQUERDO,3.50,27.30,51
104,DIREITO,3.50,62.20,54
105,DIREITO,3.50,65.70,55
106,DIREITO,3.50,69.20,56
107,DIREITO,3.50,72.70,57
108,ESQUERDO,3.50,18.80,52
109,ESQUERDO,0.30,19.10,53
110,ESQUERDO,3.50,22.60,54
111,DIREITO,0.30,68.00,58
112,DIREITO,3.50,71.50,59
113,ESQUERDO,3.50,26.10,55
114,DIREITO,3.50,75.00,60
115,DIREITO,0.60,70.60,61
116,DIREITO,3.50,69.10,62
117,ESQUERDO,3.50,17.60,56
118,DIREITO,3.50,72.60,63
119,ESQUERDO,3.50,21.10,57
120,ESQUERDO,3.50,24.60,58
121,DIREITO,3.50,76.10,64
122,ESQUERDO,0.60,19.20,59
123,DIREITO,3.50,74.60,65
124,DIREITO,0.30,74.90,66
125,DIREITO,3.50,78.40,67
126,DIREITO,3.50,81.90,68
127,ESQUERDO,3.50,22.70,61
128,ESQUERDO,3.50,26.20,61
129,ESQUERDO,3.50,23.70,62
130,DIREITO,3.50,75.40,69
131,DIREITO,0.30,75.70,71
132,DIREITO,3.50,79.20,71
133,DIREITO,3.50,82.70,72
134,DIREITO,0.60,83.30,73
135,ESQUERDO,3.50,21.20,63
136,ESQUERDO,0.60,21.80,64
137,ESQUERDO,3.50,19.30,65
138,ESQUERDO,3.50,22.80,66
139,DIREITO,0.60,78.90,74
140,DIREITO,3.50,82.40,75
141,DIREITO,0.30,82.70,76
142,ESQUERDO,0.60,17.40,67
143,ESQUERDO,3.50,20.90,68
144,ESQUERDO,3.50,24.40,69
145,ESQUERDO,0.30,24.70,70
146,ESQUERDO,3.50,28.20,71
147,DIREITO,3.50,76.20,77
148,DIREITO,3.50,79.70,78
149,DIREITO,3.50,83.20,79
150,DIREITO,3.50,86.70,80
151,DIREITO,3.50,90.20,81
