Index,Lado,Energia_Restaurada,Energia_Apos,Abates_Cumulativos
0,ESQUERDO,0.10,100.00,1
1,DIREITO,0.60,100.00,1
2,ESQUERDO,0.30,98.30,2
3,DIREITO,0.60,98.60,2
4,ESQUERDO,3.50,100.00,3
5,DIREITO,3.50,100.00,3
6,DIREITO,0.30,100.00,4
7,ESQUERDO,0.10,96.10,4
8,ESQUERDO,3.50,99.60,5
9,DIREITO,0.10,96.10,5
10,DIREITO,0.30,94.40,6
11,ESQUERDO,0.10,97.70,6
12,ESQUERDO,3.50,100.00,7
13,DIREITO,0.10,94.50,8
14,DIREITO,3.50,98.00,8
15,ESQUERDO,0.10,94.10,8
16,DIREITO,0.60,92.60,9
17,ESQUERDO,3.50,97.60,9
18,DIREITO,3.50,96.10,10
19,ESQUERDO,0.60,95.20,10
20,DIREITO,0.10,93.20,11
21,DIREITO,0.60,93.80,12
22,ESQUERDO,3.50,90.70,11
23,DIREITO,3.50,89.30,13
24,DIREITO,0.10,89.40,14
25,ESQUERDO,3.50,94.20,12
26,DIREITO,3.50,88.90,15
27,ESQUERDO,0.10,90.30,13
28,ESQUERDO,3.50,93.80,14
29,ESQUERDO,0.10,93.90,15
30,DIREITO,3.50,92.40,16
31,ESQUERDO,0.60,94.50,16
32,ESQUERDO,0.10,84.60,17
33,ESQUERDO,0.10,84.70,18
34,DIREITO,0.60,83.00,17
35,ESQUERDO,3.50,83.20,19
36,DIREITO,3.50,81.50,18
37,DIREITO,0.60,77.10,19
38,ESQUERDO,0.10,77.30,20
39,DIREITO,0.60,72.70,20
40,DIREITO,3.50,76.20,21
41,DIREITO,3.50,79.70,23
42,DIREITO,3.50,83.20,23
43,ESQUERDO,3.50,74.80,21
44,DIREITO,3.50,81.70,24
45,DIREITO,3.50,85.20,25
46,ESQUERDO,3.50,66.30,22
47,DIREITO,3.50,78.70,26
48,ESQUERDO,0.60,60.90,23
49,ESQUERDO,3.50,58.40,24
50,ESQUERDO,3.50,55.90,25
51,ESQUERDO,0.60,56.50,26
52,DIREITO,3.50,67.20,27
53,DIREITO,3.50,70.70,28
54,ESQUERDO,3.50,48.00,27
55,ESQUERDO,3.50,51.50,28
56,DIREITO,0.30,66.00,29
57,DIREITO,3.50,69.50,30
58,DIREITO,3.50,73.00,31
59,ESQUERDO,0.60,52.10,29
60,ESQUERDO,3.50,43.60,30
61,DIREITO,3.50,66.50,32
62,DIREITO,3.50,70.00,33
63,ESQUERDO,3.50,47.10,31
64,DIREITO,3.50,68.50,34
