Index,Energia_Esq,Energia_Dir,Canhoes_Esq,Canhoes_Dir,Intervalo_Esq_ms,Intervalo_Dir_ms
0,100.00,100.00,0,0,0.00,0.00
1,100.00,100.00,0,0,0.00,0.00
2,100.00,100.00,0,0,0.00,0.00
3,100.00,100.00,0,0,0.00,0.00
4,100.00,100.00,0,0,0.00,0.00
5,100.00,100.00,0,0,0.00,0.00
6,100.00,100.00,0,0,0.00,0.00
7,100.00,100.00,0,0,0.00,0.00
8,100.00,100.00,0,0,0.00,0.00
9,99.00,99.00,1,1,1500.00,1500.00
10,98.00,98.00,1,1,1500.00,1500.00
11,97.30,97.60,1,1,1500.00,1500.00
12,98.00,98.00,2,2,1500.00,1500.00
13,96.00,96.00,2,2,1500.00,1500.00
14,97.60,94.10,2,2,1500.00,1500.00
15,97.00,95.00,3,3,1500.00,1500.00
16,94.00,92.00,3,3,1500.00,1500.00
17,94.60,93.10,3,3,1500.00,1500.00
18,91.20,89.80,4,4,1500.00,1500.00
19,87.20,85.80,4,4,1500.00,1500.00
20,90.20,85.40,4,4,1500.00,1500.00
21,89.50,87.40,5,5,1500.00,1500.00
22,84.50,82.40,5,5,1500.00,1500.00
23,79.70,78.00,5,5,1500.00,1500.00
24,77.20,76.50,6,5,1800.00,1500.00
25,71.30,72.10,6,5,1800.00,1500.00
26,68.80,78.20,6,5,1800.00,1500.00
27,62.80,80.20,6,5,1800.00,1500.00
28,60.30,75.20,6,5,1800.00,1500.00
29,54.90,73.70,6,5,1800.00,1500.00
30,52.40,68.70,6,5,1800.00,1500.00
31,50.50,63.70,6,5,1800.00,1500.00
32,44.50,65.70,6,5,1800.00,1500.00
33,46.10,68.00,6,5,1800.00,1500.00
34,40.10,63.00,6,5,1800.00,1500.00
35,41.10,65.00,6,5,1800.00,1500.00
36,42.10,67.00,6,5,1800.00,1500.00
37,36.10,62.00,6,5,1800.00,1500.00
38,30.10,67.50,6,5,1800.00,1500.00
39,24.10,69.50,6,5,1800.00,1500.00
40,25.70,64.50,6,5,1800.00,1500.00
41,19.70,67.10,6,5,1800.00,1500.00
42,24.20,65.60,6,5,1800.00,1500.00
43,18.20,60.60,6,5,1800.00,1500.00
44,15.70,69.60,6,5,1800.00,1500.00
45,13.20,71.60,6,5,1800.00,1500.00
46,17.70,66.60,6,5,1800.00,1500.00
47,22.20,61.70,6,5,1800.00,1500.00
48,16.80,60.20,6,5,1800.00,1500.00
49,21.30,58.70,6,5,1800.00,1500.00
50,15.30,67.70,6,5,1800.00,1500.00
51,20.10,70.00,6,5,1800.00,1500.00
52,14.10,65.60,6,5,1800.00,1500.00
53,18.60,71.10,6,5,1800.00,1500.00
54,20.20,76.90,6,5,1800.00,1500.00
55,17.70,71.90,6,5,1800.00,1500.00
56,15.80,78.30,6,5,1800.00,1500.00
57,16.80,77.70,6,5,1800.00,1500.00
58,22.20,72.70,6,5,1800.00,1500.00
59,16.20,85.20,6,5,1800.00,1500.00
