Index,Lado,N_Canhoes,U_Atual,U_Mais1,U_Menos1,Limiar_Ganho,Energia_Lado
0,ESQUERDO,5,5.650357,5.840864,4.938412,0.0200,79.70
1,DIREITO,5,8.458956,7.590340,7.423334,0.0200,78.00
