Index,MSE_Bruto,MSE_Reconciliado,Reducao_Pct,Erro_Posicional_px,NormA_yHat,Lado
0,286666.934986,19601.676832,93.16,318.5407,0.04321606,ESQUERDO
1,169437.608215,169437.608215,0.00,1465.0521,0.00000000,ESQUERDO
2,329075.784627,12289.620018,96.27,303.7611,0.02886894,ESQUERDO
3,109965.156709,13604.503599,87.63,270.7651,0.02859363,ESQUERDO
4,246963.870748,75405.786177,69.47,368.0148,0.02918117,ESQUERDO
5,68257.330722,68257.330722,0.00,1086.2282,0.00000000,DIREITO
6,236184.550753,22153.300899,90.62,264.0201,0.05344934,DIREITO
7,520993.905298,520993.905298,0.00,967.0382,0.00000000,DIREITO
8,226605.985399,226605.985399,0.00,1743.9935,0.00000000,DIREITO
9,400602.693595,113880.189381,71.57,625.3983,0.04154834,DIREITO
