Index,MSE_Bruto,MSE_Reconciliado,Reducao_Pct,Erro_Posicional_px,NormA_yHat,Lado
0,558834.963425,210038.709260,62.41,557.4755,0.02879783,ESQUERDO
1,206688.861646,206688.861646,0.00,1701.7045,0.00000000,ESQUERDO
2,156089.380844,156089.380844,0.00,357.1893,0.00000000,ESQUERDO
3,8193.351308,8193.351308,0.00,1360.5581,0.00000000,DIREITO
4,343869.388143,343869.388143,0.00,1719.6508,0.00000000,DIREITO
5,490191.730413,105828.420617,78.41,962.9112,0.03980864,DIREITO
6,623259.991606,623259.991606,0.00,1077.5850,0.00000000,DIREITO
7,403797.437914,155290.184110,61.54,1043.1977,0.07352905,DIREITO
