Index,Lado,Media_X,Var_X,Media_Y,Var_Y,Media_VelX,Var_VelX,Media_VelY,Var_VelY
0,DIREITO,-2.9942,2201.480615,-22.0573,911.029111,0.0508,0.048715,0.0672,0.020326
1,DIREITO,24.2648,2474.681911,-39.5499,3381.869937,-0.0314,0.034785,-0.0311,0.070710
2,DIREITO,-29.0438,1302.397195,-4.2936,7998.571624,0.1038,0.059032,0.0004,0.027751
3,ESQUERDO,-5.8998,117.787131,-14.2275,3447.616423,0.0338,0.021501,-0.0495,0.006415
4,DIREITO,18.2712,2012.023517,28.8444,1988.613347,-0.0316,0.027439,-0.0265,0.017269
5,ESQUERDO,-3.3159,230.076106,1.0836,314.642733,-0.1275,0.024597,0.0109,0.010010
6,DIREITO,-16.8737,718.803411,20.9104,3190.946335,-0.0874,0.022541,-0.0070,0.017451
7,ESQUERDO,4.2938,117.020751,46.4728,18679.977740,-0.0215,0.050376,0.0005,0.019515
8,DIREITO,14.2288,2251.307118,-8.4135,1938.676951,0.0968,0.032734,0.0208,0.047359
9,ESQUERDO,4.2825,507.467723,9.6155,914.794335,0.0061,0.004090,0.0278,0.051938
10,DIREITO,-10.6053,2012.222478,-18.7247,775.809726,-0.0243,0.012284,0.0300,0.029950
11,ESQUERDO,11.8682,209.662111,4.2266,1917.342381,-0.0252,0.044143,0.0858,0.017856
12,DIREITO,-28.1037,711.135368,9.4377,2061.679807,0.0177,0.008343,-0.0386,0.101374
13,ESQUERDO,1.7445,434.584694,-16.9200,1619.809191,-0.1062,0.085464,-0.0214,0.045690
14,DIREITO,-21.9264,2566.514864,-22.3355,6446.730341,0.0590,0.057400,-0.0233,0.029938
15,ESQUERDO,-11.7581,244.550489,0.2533,5356.570932,0.0310,0.015098,0.0636,0.018586
16,DIREITO,-7.8886,3515.909122,21.1463,589.167930,-0.0479,0.022711,-0.0310,0.121651
17,ESQUERDO,5.6450,101.116883,57.1122,11963.575803,-0.0266,0.020296,-0.0228,0.060152
18,DIREITO,30.3737,1337.673832,-9.9808,8243.883208,-0.0170,0.003915,-0.1088,0.026086
19,ESQUERDO,1.5147,52.288828,6.3324,61.861141,-0.1499,0.043472,0.0103,0.021675
20,DIREITO,25.1289,2077.871180,23.7123,4277.530374,-0.0037,0.006592,-0.1561,0.061628
21,ESQUERDO,1.3069,8.872790,5.1921,350.214931,-0.0064,0.008080,0.0299,0.020502
22,DIREITO,-31.4603,917.694384,-5.0106,2059.429363,0.0112,0.040893,0.0124,0.027883
23,ESQUERDO,-6.2387,1571.943445,-0.8772,185.295798,-0.0633,0.111249,-0.0411,0.070317
24,DIREITO,-35.1129,0.000000,-149.0455,0.000000,0.0278,0.000000,-0.4199,0.000000
25,ESQUERDO,-0.6306,1206.235950,10.7354,73.169327,0.0091,0.000322,0.0740,0.001658
26,DIREITO,0.2176,0.000000,-38.2139,0.000000,-0.0574,0.000000,-0.0351,0.000000
27,ESQUERDO,1.7419,116.035159,-11.1511,261.812663,0.1815,0.042641,0.0504,0.016791
28,DIREITO,35.0809,0.000000,-1.9910,0.000000,-0.0604,0.000000,0.1338,0.000000
29,DIREITO,20.6722,275.084661,23.8513,115.753164,-0.0889,0.081312,0.1704,0.052514
30,DIREITO,-56.0052,1628.346029,-7.3754,174.978090,0.0642,0.013987,-0.0251,0.005816
31,DIREITO,-10.8191,565.848675,-30.2163,2893.458635,0.0815,0.063566,0.0690,0.027300
32,DIREITO,-21.9500,1759.380632,15.7365,3064.053273,-0.1529,0.030985,0.0216,0.006794
33,DIREITO,37.4127,846.611499,-23.3754,978.256873,-0.0131,0.048724,0.0763,0.034505
34,DIREITO,12.8322,755.236617,-28.7910,92.914308,-0.1082,0.063735,0.0452,0.000246
35,DIREITO,-113.3467,690.542942,-2.1446,297.191575,0.0764,0.000488,-0.1587,0.046683
36,DIREITO,-2.6967,87.713084,-4.1764,867.304060,-0.0385,0.057405,0.0099,0.027958
37,DIREITO,-24.7788,3628.775004,-5.3776,2287.527301,-0.0307,0.002768,0.0818,0.038001
38,DIREITO,-37.4471,5.727286,-1.1194,9.696883,-0.0739,0.015959,-0.0071,0.024900
39,DIREITO,34.4917,1167.793928,17.9196,5041.405402,-0.0629,0.030611,-0.0839,0.003561
40,DIREITO,-16.1863,2472.296891,-44.9290,3506.679529,-0.0520,0.019197,-0.0596,0.010161
41,DIREITO,1.3171,0.000000,-19.8802,0.000000,0.2492,0.000000,0.0940,0.000000
42,DIREITO,4.5284,7785.903717,-19.1977,2068.568966,-0.0453,0.059636,-0.0701,0.000212
43,DIREITO,-39.5268,236.845976,17.2858,3566.608471,-0.0916,0.001337,0.0142,0.011378
44,DIREITO,-14.6473,1345.740424,16.4626,470.185996,-0.1291,0.001837,0.0700,0.033394
45,DIREITO,-10.6774,711.421832,-109.3377,8304.422649,-0.0426,0.003110,-0.2100,0.039374
46,DIREITO,7.0611,1098.135712,-16.7450,2735.763718,-0.0054,0.006055,0.1726,0.004838
47,DIREITO,3.2532,2267.389077,3.5316,3086.891604,0.1049,0.023015,-0.0721,0.010220
48,DIREITO,16.6940,1150.708786,16.8591,1766.223289,0.0131,0.083566,-0.0506,0.027057
