Index,Lado,N_Canhoes,U_Atual,U_Mais1,U_Menos1,Limiar_Ganho,Energia_Lado
0,ESQUERDO,5,5.993237,5.351265,5.361438,0.0200,80.40
1,DIREITO,5,8.506520,7.548504,7.333241,0.0200,76.60
