Index,Lado,Energia_Restaurada,Energia_Apos,Abates_Cumulativos
0,DIREITO,0.60,100.00,1
1,DIREITO,0.10,98.10,2
2,ESQUERDO,3.50,100.00,1
3,ESQUERDO,3.50,100.00,2
4,DIREITO,3.50,100.00,3
5,DIREITO,0.10,98.10,4
6,ESQUERDO,0.30,96.30,3
7,DIREITO,3.50,99.60,5
8,DIREITO,3.50,100.00,6
9,ESQUERDO,0.10,94.40,4
10,DIREITO,0.30,98.30,7
11,DIREITO,0.10,98.40,8
12,ESQUERDO,0.60,89.00,5
13,DIREITO,3.50,95.90,9
14,ESQUERDO,3.50,92.50,6
15,DIREITO,0.30,96.20,10
16,ESQUERDO,3.50,96.00,7
17,ESQUERDO,0.10,93.10,8
18,DIREITO,0.60,93.80,11
19,ESQUERDO,0.10,93.20,9
20,DIREITO,0.10,93.90,12
21,DIREITO,0.10,86.00,13
22,ESQUERDO,0.10,85.30,10
23,DIREITO,3.50,89.50,14
24,DIREITO,0.10,89.60,15
25,DIREITO,3.50,93.10,16
26,ESQUERDO,0.30,85.60,11
27,DIREITO,3.50,92.60,17
28,ESQUERDO,0.10,81.70,12
29,DIREITO,0.10,92.70,18
30,ESQUERDO,0.10,81.80,13
31,DIREITO,0.30,83.00,19
32,DIREITO,0.60,78.60,20
33,DIREITO,3.50,82.10,21
34,DIREITO,3.50,85.60,22
35,DIREITO,3.50,89.10,23
36,ESQUERDO,3.50,63.30,14
37,DIREITO,3.50,82.60,24
38,DIREITO,3.50,86.10,25
39,ESQUERDO,3.50,66.80,15
40,ESQUERDO,3.50,65.30,16
41,DIREITO,3.50,84.60,26
42,DIREITO,3.50,88.10,27
43,ESQUERDO,3.50,68.80,17
44,DIREITO,3.50,81.60,28
45,ESQUERDO,3.50,62.30,18
46,ESQUERDO,3.50,65.80,19
47,ESQUERDO,0.30,66.10,20
48,ESQUERDO,3.50,69.60,21
49,DIREITO,3.50,70.10,29
50,ESQUERDO,3.50,58.10,22
51,ESQUERDO,0.10,58.20,23
52,DIREITO,3.50,73.60,30
53,ESQUERDO,3.50,56.70,24
54,ESQUERDO,3.50,60.20,25
55,DIREITO,0.60,69.20,31
56,DIREITO,3.50,62.70,32
57,ESQUERDO,3.50,51.70,26
58,ESQUERDO,0.10,51.80,27
59,ESQUERDO,0.10,51.90,28
60,DIREITO,3.50,61.20,33
61,DIREITO,0.60,61.80,34
62,ESQUERDO,3.50,44.40,29
63,ESQUERDO,3.50,47.90,30
64,ESQUERDO,3.50,51.40,31
65,DIREITO,3.50,55.30,35
66,DIREITO,3.50,58.80,36
67,ESQUERDO,3.50,49.90,32
68,DIREITO,0.10,53.90,37
69,DIREITO,3.50,57.40,38
70,DIREITO,3.50,60.90,39
71,ESQUERDO,0.30,40.20,33
72,ESQUERDO,3.50,43.70,34
73,ESQUERDO,0.60,44.30,35
74,DIREITO,3.50,54.40,40
75,DIREITO,0.60,55.00,41
76,DIREITO,3.50,58.50,42
77,ESQUERDO,0.10,39.40,37
78,ESQUERDO,3.50,42.90,37
79,ESQUERDO,3.50,41.40,38
80,DIREITO,3.50,57.00,43
81,DIREITO,3.50,55.50,44
82,ESQUERDO,3.50,39.90,39
83,ESQUERDO,3.50,43.40,40
84,DIREITO,3.50,54.00,45
85,DIREITO,3.50,57.50,46
86,ESQUERDO,3.50,41.90,41
87,ESQUERDO,3.50,45.40,42
88,ESQUERDO,0.60,46.00,43
89,DIREITO,3.50,56.00,47
90,DIREITO,0.30,56.30,48
91,ESQUERDO,3.50,39.50,44
92,ESQUERDO,3.50,43.00,45
93,DIREITO,0.60,46.90,49
94,DIREITO,3.50,50.40,50
95,DIREITO,3.50,53.90,51
96,DIREITO,3.50,57.40,52
97,ESQUERDO,3.50,41.50,46
98,ESQUERDO,3.50,40.00,47
99,DIREITO,3.50,55.90,53
100,DIREITO,0.30,56.20,54
101,DIREITO,3.50,54.70,55
102,DIREITO,3.50,58.20,56
103,ESQUERDO,3.50,38.50,48
104,ESQUERDO,3.50,42.00,49
