Index,Lado,Energia_Restaurada,Energia_Apos,Abates_Cumulativos
105,ESQUERDO,0.30,42.30,50
106,ESQUERDO,3.50,40.80,51
107,ESQUERDO,0.60,41.40,52
108,DIREITO,3.50,51.70,57
109,DIREITO,3.50,55.20,58
110,DIREITO,3.50,58.70,59
111,DIREITO,3.50,62.20,60
112,ESQUERDO,0.60,32.00,53
113,ESQUERDO,3.50,35.50,54
114,DIREITO,0.60,52.80,61
115,DIREITO,0.60,53.40,62
116,DIREITO,0.60,54.00,63
117,ESQUERDO,3.50,34.00,55
118,ESQUERDO,3.50,37.50,56
119,ESQUERDO,3.50,36.00,57
120,DIREITO,3.50,52.50,64
121,DIREITO,3.50,56.00,65
122,DIREITO,3.50,59.50,66
123,DIREITO,0.30,59.80,67
124,ESQUERDO,3.50,34.50,58
125,ESQUERDO,0.60,35.10,59
126,ESQUERDO,3.50,38.60,60
127,DIREITO,0.60,50.40,68
128,DIREITO,0.60,51.00,69
129,DIREITO,3.50,54.50,70
130,ESQUERDO,0.60,34.20,61
131,ESQUERDO,3.50,37.70,62
132,ESQUERDO,3.50,41.20,63
133,ESQUERDO,3.50,44.70,64
134,DIREITO,3.50,53.00,71
135,ESQUERDO,3.50,38.20,65
136,ESQUERDO,3.50,41.70,66
137,ESQUERDO,3.50,45.20,67
138,ESQUERDO,3.50,48.70,68
139,ESQUERDO,3.50,52.20,69
140,DIREITO,0.30,48.30,72
141,DIREITO,3.50,46.80,73
142,DIREITO,3.50,50.30,74
143,DIREITO,3.50,53.80,75
144,DIREITO,3.50,57.30,76
145,DIREITO,0.60,57.90,77
146,ESQUERDO,3.50,50.70,70
147,ESQUERDO,0.30,51.00,71
148,ESQUERDO,3.50,54.50,72
149,ESQUERDO,3.50,58.00,73
